SummaryOpenDTS,PV_NSC_Amb_Amb,PV_NSC_TC_Amb,PV_NSC_TC_ATC,PV_NSC_Amb_ATC
2020-12-01 23:00:00+00:00,-0.1,-0.1,-0.1,-0.1
2020-12-01 23:10:00+00:00,-0.1,-0.1,-0.1,-0.1
2020-12-01 23:20:00+00:00,-0.19,-0.19,-0.19,-0.19
2020-12-01 23:30:00+00:00,-0.14,-0.14,-0.14,-0.14
2020-12-01 23:40:00+00:00,-0.15,-0.15,-0.15,-0.15
2020-12-01 23:50:00+00:00,-0.15,-0.15,-0.15,-0.15
2020-12-02 00:00:00+00:00,-0.3,-0.3,-0.3,-0.3
2020-12-02 00:10:00+00:00,-0.24,-0.24,-0.24,-0.24
2020-12-02 00:20:00+00:00,-0.21,-0.21,-0.21,-0.21
2020-12-02 00:30:00+00:00,-0.21,-0.21,-0.21,-0.21
2020-12-02 00:40:00+00:00,-0.15,-0.15,-0.15,-0.15
2020-12-02 00:50:00+00:00,-0.28,-0.28,-0.28,-0.28
2020-12-02 01:00:00+00:00,-0.11,-0.11,-0.11,-0.11
2020-12-02 01:10:00+00:00,-0.21,-0.21,-0.21,-0.21
2020-12-02 01:20:00+00:00,-0.12,-0.12,-0.12,-0.12
2020-12-02 01:30:00+00:00,-0.08,-0.08,-0.08,-0.08
2020-12-02 01:40:00+00:00,-0.1,-0.1,-0.1,-0.1
2020-12-02 01:50:00+00:00,-0.14,-0.14,-0.14,-0.14
2020-12-02 02:00:00+00:00,-0.09,-0.09,-0.09,-0.09
2020-12-02 02:10:00+00:00,-0.27,-0.27,-0.27,-0.27
2020-12-02 02:20:00+00:00,-0.18,-0.18,-0.18,-0.18
2020-12-02 02:30:00+00:00,-0.12,-0.12,-0.12,-0.12
2020-12-02 02:40:00+00:00,-0.14,-0.14,-0.14,-0.14
2020-12-02 02:50:00+00:00,-0.19,-0.19,-0.19,-0.19
2020-12-02 03:00:00+00:00,-0.15,-0.15,-0.15,-0.15
2020-12-02 03:10:00+00:00,-0.21,-0.21,-0.21,-0.21
2020-12-02 03:20:00+00:00,-0.29,-0.29,-0.29,-0.29
2020-12-02 03:30:00+00:00,-0.19,-0.19,-0.19,-0.19
2020-12-02 03:40:00+00:00,-0.26,-0.26,-0.26,-0.26
2020-12-02 03:50:00+00:00,-0.24,-0.24,-0.24,-0.24
2020-12-02 04:00:00+00:00,-0.31,-0.31,-0.31,-0.31
2020-12-02 04:10:00+00:00,-0.24,-0.24,-0.24,-0.24
2020-12-02 04:20:00+00:00,-0.18,-0.18,-0.18,-0.18
2020-12-02 04:30:00+00:00,-0.28,-0.28,-0.28,-0.28
2020-12-02 04:40:00+00:00,-0.29,-0.29,-0.29,-0.29
2020-12-02 04:50:00+00:00,-0.29,-0.29,-0.29,-0.29
2020-12-02 05:00:00+00:00,-0.22,-0.22,-0.22,-0.22
2020-12-02 05:10:00+00:00,-0.08,-0.08,-0.08,-0.08
2020-12-02 05:20:00+00:00,-0.1,-0.1,-0.1,-0.1
2020-12-02 05:30:00+00:00,-0.23,-0.23,-0.23,-0.23
2020-12-02 05:40:00+00:00,-0.2,-0.2,-0.2,-0.2
2020-12-02 05:50:00+00:00,-0.17,-0.17,-0.17,-0.17
2020-12-02 06:00:00+00:00,-0.27,-0.27,-0.27,-0.27
2020-12-02 06:10:00+00:00,-0.28,-0.28,-0.28,-0.28
2020-12-02 06:20:00+00:00,-0.31,-0.31,-0.31,-0.31
2020-12-02 06:30:00+00:00,-0.32,-0.32,-0.32,-0.32
2020-12-02 06:40:00+00:00,-0.25,-0.25,-0.25,-0.25
2020-12-02 06:50:00+00:00,-0.28,-0.28,-0.28,-0.28
2020-12-02 07:00:00+00:00,-0.31,-0.31,-0.31,-0.31
2020-12-02 07:10:00+00:00,-0.32,-0.32,-0.32,-0.32
2020-12-02 07:20:00+00:00,-0.32,-0.32,-0.32,-0.32
2020-12-02 07:30:00+00:00,-0.3,-0.3,-0.3,-0.3
2020-12-02 07:40:00+00:00,-0.31,-0.31,-0.31,-0.31
2020-12-02 07:50:00+00:00,-0.32,-0.32,-0.32,-0.32
2020-12-02 08:00:00+00:00,-0.32,-0.32,-0.32,-0.32
2020-12-02 08:10:00+00:00,-0.32,-0.32,-0.32,-0.32
2020-12-02 08:20:00+00:00,54.5378,54.5378,54.5378,54.5378
2020-12-02 08:30:00+00:00,46.0914,46.0914,46.0914,46.0914
2020-12-02 08:40:00+00:00,5.38,5.38,5.38,5.38
2020-12-02 08:50:00+00:00,5.36,5.36,5.36,5.36
2020-12-02 09:00:00+00:00,5.49,5.49,5.49,5.49
2020-12-02 09:10:00+00:00,5.3,5.3,5.3,5.3
2020-12-02 09:20:00+00:00,10.53,10.53,10.53,10.53
2020-12-02 09:30:00+00:00,5.49,5.49,5.49,5.49
2020-12-02 09:40:00+00:00,5.56,5.56,5.56,5.56
2020-12-02 09:50:00+00:00,5.61,5.61,5.61,5.61
2020-12-02 10:00:00+00:00,5.48,5.48,5.48,5.48
2020-12-02 10:10:00+00:00,5.65,5.65,5.65,5.65
2020-12-02 10:20:00+00:00,5.53,5.53,5.53,5.53
2020-12-02 10:30:00+00:00,5.49,5.49,5.49,5.49
2020-12-02 10:40:00+00:00,5.58,5.58,5.58,5.58
2020-12-02 10:50:00+00:00,5.65,5.65,5.65,5.65
2020-12-02 11:00:00+00:00,5.51,5.51,5.51,5.51
2020-12-02 11:10:00+00:00,5.57,5.57,5.57,5.57
2020-12-02 11:20:00+00:00,5.58,5.58,5.58,5.58
2020-12-02 11:30:00+00:00,5.63,5.63,5.63,5.63
2020-12-02 11:40:00+00:00,5.53,5.53,5.53,5.53
2020-12-02 11:50:00+00:00,5.61,5.61,5.61,5.61
2020-12-02 12:00:00+00:00,5.49,5.49,5.49,5.49
2020-12-02 12:10:00+00:00,5.48,5.48,5.48,5.48
2020-12-02 12:20:00+00:00,5.48,5.48,5.48,5.48
2020-12-02 12:30:00+00:00,5.52,5.52,5.52,5.52
2020-12-02 12:40:00+00:00,5.61,5.61,5.61,5.61
2020-12-02 12:50:00+00:00,5.63,5.63,5.63,5.63
2020-12-02 13:00:00+00:00,5.49,5.49,5.49,5.49
2020-12-02 13:10:00+00:00,5.58,5.58,5.58,5.58
2020-12-02 13:20:00+00:00,5.65,5.65,5.65,5.65
2020-12-02 13:30:00+00:00,5.53,5.53,5.53,5.53
2020-12-02 13:40:00+00:00,5.57,5.57,5.57,5.57
2020-12-02 13:50:00+00:00,5.44,5.44,5.44,5.44
2020-12-02 14:00:00+00:00,5.48,5.48,5.48,5.48
2020-12-02 14:10:00+00:00,5.42,5.42,5.42,5.42
2020-12-02 14:20:00+00:00,5.62,5.62,5.62,5.62
2020-12-02 14:30:00+00:00,5.47,5.47,5.47,5.47
2020-12-02 14:40:00+00:00,5.49,5.49,5.49,5.49
2020-12-02 14:50:00+00:00,5.54,5.54,5.54,5.54
2020-12-02 15:00:00+00:00,5.56,5.56,5.56,5.56
2020-12-02 15:10:00+00:00,5.65,5.65,5.65,5.65
2020-12-02 15:20:00+00:00,5.42,5.42,5.42,5.42
2020-12-02 15:30:00+00:00,5.7,5.7,5.7,5.7
2020-12-02 15:40:00+00:00,5.53,5.53,5.53,5.53
2020-12-02 15:50:00+00:00,5.67,5.67,5.67,5.67
