SummaryOpenDTS,SummaryCloseDTS,GradeName,SummarySalesRaw,SummarySalesATC,SummaryOpenRaw,SummaryCloseRaw,PV_NSC_Amb_Amb,PV_NSC_TC_Amb,PV_NSC_TC_ATC,PV_NSC_Amb_ATC,SummaryDeliveries,SummaryOpenTemperature,SummaryCloseTemperature,DeltaVolumeTemperatureCorrectionNSC,OpenVolTank1,CloseVolTank1,OpenLevelTank1,CloseLevelTank1,OpenTemperatureTank1,CloseTemperatureTank1,OpenWaterLevelTank1,CloseWaterLevelTank1,OpenVolumeCorrectedTank1,CloseVolumeCorrectedTank1,Pump1Hose4,Pump2Hose4
2020-12-03 00:00:00+00:00,2020-12-03 00:10:00+00:00,B95,0.0,0.0,23453.17,23453.19,0.02,0.02,0.02,0.02,0.0,7.5,7.5,0.0,23453.17,23453.19,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
2020-12-03 00:10:00+00:00,2020-12-03 00:20:00+00:00,B95,0.0,0.0,23453.19,23453.19,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.0,23453.19,23453.19,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
2020-12-03 00:20:00+00:00,2020-12-03 00:30:00+00:00,B95,0.0,0.0,23453.19,23453.16,-0.03,-0.03,-0.03,-0.03,0.0,7.5,7.5,0.0,23453.19,23453.16,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
2020-12-03 00:30:00+00:00,2020-12-03 00:40:00+00:00,B95,0.0,0.0,23453.16,23453.2,0.04,0.04,0.04,0.04,0.0,7.5,7.5,-0.0,23453.16,23453.2,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
2020-12-03 00:40:00+00:00,2020-12-03 00:50:00+00:00,B95,0.0,0.0,23453.2,23453.33,0.13,0.13,0.13,0.13,0.0,7.5,7.5,0.0,23453.2,23453.33,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
2020-12-03 00:50:00+00:00,2020-12-03 01:00:00+00:00,B95,0.0,0.0,23453.33,23453.14,-0.19,-0.19,-0.19,-0.19,0.0,7.5,7.5,0.0,23453.33,23453.14,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
2020-12-03 01:00:00+00:00,2020-12-03 01:10:00+00:00,B95,0.0,0.0,23453.14,23453.14,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.0,23453.14,23453.14,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
2020-12-03 01:10:00+00:00,2020-12-03 01:20:00+00:00,B95,0.0,0.0,23453.14,23453.18,0.04,0.04,0.04,0.04,0.0,7.5,7.5,0.0,23453.14,23453.18,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
2020-12-03 01:20:00+00:00,2020-12-03 01:30:00+00:00,B95,0.0,0.0,23453.18,23453.12,-0.06,-0.06,-0.06,-0.06,0.0,7.5,7.5,0.0,23453.18,23453.12,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
2020-12-03 01:30:00+00:00,2020-12-03 01:40:00+00:00,B95,0.0,0.0,23453.12,23453.11,-0.01,-0.01,-0.01,-0.01,0.0,7.5,7.5,0.0,23453.12,23453.11,1442.2,1442.2,7.5,7.5,0.0,0.0,,,0.0,0.0
